site,gopher,field_id,percent_comp,family,genus,species,common,date,Notes,Invasive
AWA1_1,0,Rubus,1,Rosaceae,Rubus ,cuneifolius,Sand Blackberry,24-Mar-18,,N
AWA1_1,0,Wiregrass,49,Poaceae,Aristida ,stricta,Wiregrass,24-Mar-18,,N
AWA1_1,0,Huckleberry,20,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA1_1,0,Silkgrass aster,1,Asteraceae,Pityopsis ,aspera,Pineland silkgrass,24-Mar-18,,N
AWA1_1,0,Fat trifoliate,1,Fabaceae,Desmodium ,lineatum,Desmodium,24-Mar-18,,N
AWA1_1,0,Heart cordate,1,Violaceae,Viola,,Violet,24-Mar-18,,
AWA1_1,0,Splitleaf heart,1,Violaceae,Viola,palmata,Violet,24-Mar-18,,N
AWA1_1,0,Andropogon,20,Poaceae,Andropogon ,,Broomsedge/Bluestem,24-Mar-18,,
AWA1_1,0,Alternate,1,Euphorbiaceae,Euphorbia ,pubentissima,False flowering spurge,24-Mar-18,,N
AWA1_1,0,Panicum,10,Poaceae,Dichanthelium ,,Dicanthelium,24-Mar-18,,
AWA1_2,0,Wiregrass,50,Poaceae,Aristida ,stricta,Wiregrass,24-Mar-18,,N
AWA1_2,0,Huckleberry,1,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA1_2,0,Alternate,1,Euphorbiaceae,Euphorbia ,pubentissima,False flowering spurge,24-Mar-18,,N
AWA1_2,0,Rubus,1,Rosaceae,Rubus ,cuneifolius,Sand Blackberry,24-Mar-18,,N
AWA1_2,0,Low Panicum 2,1,Poaceae,Dichanthelium, dichotomum,Cypress Panic Grass,24-Mar-18,,N
AWA1_2,0,Granny,1,Asteraceae,Chrysopsis ,gossypinus,Goldenaster,24-Mar-18,,N
AWA1_2,0,Boring Berry,1,Ericaceae,Gaylussacia ,dumosa,Dwarf Huckleberry,24-Mar-18,,N
AWA1_2,0,Furry alternate,1,Asteraceae,Vernonia ,angustifolia,tall ironweed,24-Mar-18,,N
AWA1_2,0,Andropogon,49,Poaceae,Andropogon ,,broomsedge/bluestem,24-Mar-18,,
AWA1_3,0,Huckleberry,2,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA1_3,0,Boring Berry,1,Ericaceae,Gaylussacia ,dumosa,dwarf huckleberry,24-Mar-18,,N
AWA1_3,0,Wiregrass,90,Poaceae,Aristida ,stricta,wiregrass,24-Mar-18,,N
AWA1_3,0,Panicum,3,Poaceae,Dichanthelium ,,Dicanthelium,24-Mar-18,,
AWA1_3,0,Furry Alternate,1,Asteraceae,Vernonia ,angustifolia,tall ironweed,24-Mar-18,,N
AWA1_3,0,Alternate,1,Euphorbiaceae,Euphorbia ,pubentissima,false flowering spurge,24-Mar-18,,N
AWA1_3,0,Fat Trifoliate,1,Fabaceae,Desmodium ,lineatum,Desmodium,24-Mar-18,,N
AWA1_3,0,Clever ,1,Rubiaceae,Galium ,pilosum,Cleaver,24-Mar-18,,N
AWA1_3,0,Silkgrass,3,Asteraceae,Pityopsis ,aspera,Pineland silkgrass,24-Mar-18,,N
AWA1_4,0,Wiregrass,30,Poaceae,Aristida ,stricta,wiregrass,24-Mar-18,,N
AWA1_4,0,Huckleberry,20,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA1_4,0,Panicum,1,Poaceae,Dichanthelium ,,Dicanthelium,24-Mar-18,,
AWA1_4,0,Silkgrass,5,Asteraceae,Pityopsis ,aspera,Pineland silkgrass,24-Mar-18,,N
AWA1_4,0,Rubus,1,Rosaceae,Rubus ,cuneifolius,sand blackberry,24-Mar-18,,N
AWA1_4,0,Andropogon,40,Poaceae,Andropogon ,,broomsedge/bluestem,24-Mar-18,,
AWA1_4,0,Subaxe,1,Asteraceae,Symphyotrichum ,adnatum,clasping aster/scaleleaf aster,24-Mar-18,,N
AWA1_4,0,Granny,1,Asteraceae,Chrysopsis ,gossypinus,goldenaster,24-Mar-18,,N
AWA1_4,0,Cherry?,1,Cornaceae,Nyssa ,,blackgum/tupelo,24-Mar-18,,
AWA1_4,0,Pink Stem Whorl,1,Acanthaceae,Dyschoriste ,oblongifolia,oblong snakeherb/twinflower,24-Mar-18,,N
AWA1_5,0,Huckleberry,15,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA1_5,0,Panicum,15,Poaceae,Dichanthelium ,,Dicanthelium,24-Mar-18,,
AWA1_5,0,Rubus,1,Rosaceae,Rubus ,cuneifolius,sand blackberry,24-Mar-18,,N
AWA1_5,0,Wiregrass,20,Poaceae,Aristida ,stricta,wiregrass,24-Mar-18,,N
AWA1_5,0,Pink Stem Whorl,1,Acanthaceae,Dyschoriste ,oblongifolia,oblong snakeherb/twinflower,24-Mar-18,,N
AWA1_5,0,Alternate,1,Euphorbiaceae,Euphorbia ,pubentissima,false flowering spurge,24-Mar-18,,N
AWA1_5,0,Andropogon,49,Poaceae,Andropogon ,,broomsedge/bluestem,24-Mar-18,,
AWA1_6,0,Huckleberry,5,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA1_6,0,Wiregrass,10,Poaceae,Aristida ,stricta,wiregrass,24-Mar-18,,N
AWA1_6,0,Smilax,2,Smilacaceae,Smilax ,bona-nox,bona-nox catbrier,24-Mar-18,,N
AWA1_6,0,Fat Trifoliolate,1,Fabaceae,Desmodium ,lineatum,Desmodium,24-Mar-18,,N
AWA1_6,0,Fuzzy Alternate,1,Asteraceae,Vernonia ,angustifolia,tall ironweed,24-Mar-18,,N
AWA1_6,0,Butterfly Pea,1,Fabaceae,Desmodium,lineatum,Desmodium,24-Mar-18,,N
AWA1_6,0,Panicum 2,1,Poaceae,Dichanthelium, dichotomum,cypress panic grass,24-Mar-18,,N
AWA1_6,0,Cherry?,1,Cornaceae,Nyssa ,,blackgum/tupelo,24-Mar-18,,
AWA1_6,0,Pine Litter,78,Pinaceae,Pinus ,palustris,longleaf pine,24-Mar-18,,N
AWA1_7,0,Wiregrass,45,Poaceae,Aristida ,stricta,wiregrass,24-Mar-18,,N
AWA1_7,0,Runner Oak,10,Fagaceae,Quercus ,virginiana,Live oak,24-Mar-18,,N
AWA1_7,0,Rubus,1,Rosaceae,Rubus ,cuneifolius,sand blackberry,24-Mar-18,,N
AWA1_7,0,Huckleberry,5,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA1_7,0,Not Clover,10,Rubiaceae,Houstonia ,procumbens,roundleaf bluet,24-Mar-18,,N
AWA1_7,0,Panicum,15,Poaceae,Dichanthelium ,,Dicanthelium,24-Mar-18,,
AWA1_7,0,Smilax,1,Smilacaceae,Smilax ,bona-nox,bona-nox catbrier,24-Mar-18,,N
AWA1_7,0,Sassafras,1,Styracaceae,Halesia ,,silverbells tree,24-Mar-18,,
AWA1_7,0,Loneleaf,1,Fabaceae,Centrosema ,virginiana,spurred butterfly pea,24-Mar-18,,N
AWA1_7,0,Clever,1,Rubiaceae,Galium ,pilosum,Cleaver,24-Mar-18,,N
AWA1_7,0,Andropogon,1,Poaceae,Andropogon ,,broomsedge/bluestem,24-Mar-18,,
AWA1_7,0,Alternate,14,Euphorbiaceae,Euphorbia ,pubentissima,false flowering spurge,24-Mar-18,,N
AWA1_8,0,Rubus,1,Rosaceae,Rubus ,cuneifolius,sand blackberry,24-Mar-18,,N
AWA1_8,0,Huckleberry,25,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA1_8,0,Wiregrass,50,Poaceae,Aristida ,stricta,wiregrass,24-Mar-18,,N
AWA1_8,0,Panicum,25,Poaceae,Dichanthelium ,,Dicanthelium,24-Mar-18,,
AWA1_8,0,Clever,1,Rubiaceae,Galium ,pilosum,Cleaver,24-Mar-18,,N
AWA1_8,0,Alternate,1,Euphorbiaceae,Euphorbia ,pubentissima,false flowering spurge,24-Mar-18,,N
AWA1_8,0,Cherry?,1,Cornaceae,Nyssa ,,blackgum/tupelo,24-Mar-18,,
AWA1_8,0,Buddy,1,NA,NA,NA,NA,24-Mar-18,unidentified,
AWA1_8,0,Black Cherry,1,Anacardiaceae,Rhus ,copallinum,winged sumac/dward sumac,24-Mar-18,,N
AWA1_9,0,Wiregrass,25,Poaceae,Aristida ,stricta,wiregrass,24-Mar-18,,N
AWA1_9,0,Boring Berry,35,Ericaceae,Gaylussacia ,dumosa,dwarf huckleberry,24-Mar-18,,N
AWA1_9,0,Huckleberry,15,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA1_9,0,Silkgrass,24,Asteraceae,Pityopsis ,aspera,Pineland silkgrass,24-Mar-18,,N
AWA1_9,0,Clever,1,Rubiaceae,Galium ,pilosum,Cleaver,24-Mar-18,,N
AWA1_9,0,Rubus,1,Rosaceae,Rubus ,cuneifolius,sand blackberry,24-Mar-18,,N
AWA1_10,0,Gopher Apple,,Ericaceae,Gaylussacia ,dumosa,dwarf huckleberry,24-Mar-18,,N
AWA1_10,0,Huckleberry,,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA1_10,0,Wiregrass,,Poaceae,Aristida ,stricta,wiregrass,24-Mar-18,,N
AWA1_10,0,Silkgrass,,Asteraceae,Pityopsis ,aspera,Pineland silkgrass,24-Mar-18,,N
AWA1_10,0,Granny,,Asteraceae,Chrysopsis ,gossypinus,goldenaster,24-Mar-18,,N
AWA1_10,0,Panicum 2,,Poaceae,Dichanthelium, dichotomum,cypress panic grass,24-Mar-18,,N
AWA1_10,0,Fat Trifoliolate,,Fabaceae,Desmodium ,lineatum,Desmodium,24-Mar-18,,N
AWA1_10,0,Fuzzy Red Stem,5,Cistaceae,Crocanthemum ,carolinianum,carolina rock rose,24-Mar-18,,N
AWA1_11,0,Wiregrass,88,Poaceae,Aristida ,stricta,wiregrass,24-Mar-18,,N
AWA1_11,0,Panicum ,5,Poaceae,Dichanthelium ,,Dicanthelium,24-Mar-18,,
AWA1_11,0,Subaxe,1,Asteraceae,Symphyotrichum ,adnatum,clasping aster/scaleleaf aster,24-Mar-18,,N
AWA1_11,0,Gopher Apple,3,Ericaceae,Gaylussacia ,dumosa,dwarf huckleberry,24-Mar-18,,N
AWA1_11,0,Huckleberry,3,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA1_12,0,Huckleberry,25,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA1_12,0,Rubus,1,Rosaceae,Rubus ,cuneifolius,sand blackberry,24-Mar-18,,N
AWA1_12,0,Smilax,3,Smilacaceae,Smilax ,bona-nox,bona-nox catbrier,24-Mar-18,,N
AWA1_12,0,Cherry?,1,Cornaceae,Nyssa ,,blackgum/tupelo,24-Mar-18,,
AWA1_12,0,Gopher Apple,9,Ericaceae,Gaylussacia ,dumosa,dwarf huckleberry,24-Mar-18,,N
AWA1_12,0,Panicum,20,Poaceae,Dichanthelium ,,Dicanthelium,24-Mar-18,,
AWA1_12,0,Andropogon,20,Poaceae,Andropogon ,,broomsedge/bluestem,24-Mar-18,,
AWA1_12,0,Silkgrass,20,Asteraceae,Pityopsis ,aspera,Pineland silkgrass,24-Mar-18,,N
AWA1_12,0,Clever,1,Rubiaceae,Galium ,pilosum,Cleaver,24-Mar-18,,N
AWA1_12,0,Runner Oak,2,Fagaceae,Quercus ,virginiana,Live oak,24-Mar-18,,N
AWA1_12,0,Butterfly Pea,1,Fabaceae,Desmodium,lineatum,Desmodium,24-Mar-18,,N
AWA1_12,0,Splitleaf Heart,1,Violaceae,Viola,palmata,Violet,24-Mar-18,,N
AWA1_13,0,Andropogon,20,Poaceae,Andropogon ,,broomsedge/bluestem,24-Mar-18,,
AWA1_13,0,Wiregrass,30,Poaceae,Aristida ,stricta,wiregrass,24-Mar-18,,N
AWA1_13,0,Huckleberry,30,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA1_13,0,Gopher Apple,1,Ericaceae,Gaylussacia ,dumosa,dwarf huckleberry,24-Mar-18,,N
AWA1_13,0,Butterfly pea 2,1,Asteraceae,Symphyotrichum ,adnatum,clasping aster/scaleleaf aster,24-Mar-18,,N
AWA1_13,0,Longleaf Seedling,1,Pinaceae,Pinus ,palustris,Longleaf pine,24-Mar-18,,N
AWA1_13,0,Alternate,1,Euphorbiaceae,Euphorbia ,pubentissima,false flowering spurge,24-Mar-18,,N
AWA1_13,0,Subaxe,1,Fabaceae,Clitoria ,mariana,butterfly pea/atlantic pigeon wings,24-Mar-18,,N
AWA1_13,0,Panicum ,20,Poaceae,Dichanthelium ,,Dicanthelium,24-Mar-18,,
AWA1_14,0,Andropogon,40,Poaceae,Andropogon ,,broomsedge/bluestem,24-Mar-18,,
AWA1_14,0,Rubus,1,Rosaceae,Rubus ,cuneifolius,sand blackberry,24-Mar-18,,N
AWA1_14,0,Huckleberry,5,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA1_14,0,Wiregrass,50,Poaceae,Aristida ,stricta,wiregrass,24-Mar-18,,N
AWA1_14,0,Gopher Apple,4,Ericaceae,Gaylussacia ,dumosa,dwarf huckleberry,24-Mar-18,,N
AWA1_14,0,Clever,1,Rubiaceae,Galium ,pilosum,Cleaver,24-Mar-18,,N
AWA1_14,0,Subaxe,1,Fabaceae,Clitoria ,mariana,butterfly pea/atlantic pigeon wings,24-Mar-18,,N
AWA1_15,0,Wiregrass,75,Poaceae,Aristida ,stricta,wiregrass,24-Mar-18,,N
AWA1_15,0,Andropogon,20,Poaceae,Andropogon ,,broomsedge/bluestem,24-Mar-18,,
AWA1_15,0,Huckleberry,1,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA1_15,0,Bracken Fern,1,Dennstaedtiaceae,Pteridium ,aquilinum,bracken fern,24-Mar-18,,N
AWA1_15,0,Panicum,4,Poaceae,Dichanthelium ,,Dicanthelium,24-Mar-18,,
AWA1_15,0,Silkgrass,1,Asteraceae,Pityopsis ,aspera,Pineland silkgrass,24-Mar-18,,N
AWA1_16,0,Wiregrass,80,Poaceae,Aristida ,stricta,wiregrass,24-Mar-18,,N
AWA1_16,0,Huckleberry,5,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA1_16,0,Gopher Apple,5,Ericaceae,Gaylussacia ,dumosa,dwarf huckleberry,24-Mar-18,,N
AWA1_16,0,Silkgrass,5,Asteraceae,Pityopsis ,aspera,Pineland silkgrass,24-Mar-18,,N
AWA1_16,0,Panicum,4,Poaceae,Dichanthelium ,,Dicanthelium,24-Mar-18,,
AWA1_16,0,Quercus,1,Fagaceae,Quercus ,falcata,southern red oak,24-Mar-18,,N
AWA1_17,0,Wiregrass,85,Poaceae,Aristida ,stricta,wiregrass,24-Mar-18,,N
AWA1_17,0,Rubus,1,Rosaceae,Rubus ,cuneifolius,sand blackberry,24-Mar-18,,N
AWA1_17,0,Splitleaf Heart ,1,Violaceae,Viola,palmata,Violet,24-Mar-18,,N
AWA1_17,0,Boring Berry,1,Ericaceae,Gaylussacia ,dumosa,dwarf huckleberry,24-Mar-18,,N
AWA1_17,0,Posion Oak,1,Anacardiaceae,Toxicodendron ,pubescens,poison oak,24-Mar-18,,N
AWA1_17,0,Andropogon,5,Poaceae,Andropogon ,,broomsedge/bluestem,24-Mar-18,,
AWA1_17,0,Alternate,1,Euphorbiaceae,Euphorbia ,pubentissima,false flowering spurge,24-Mar-18,,N
AWA1_17,0,Sparkleberry,1,Ericaceae,Vaccinium ,arboreum,sparkleberry/farkleberry,24-Mar-18,,N
AWA1_17,0,Silkgrass,5,Asteraceae,Pityopsis ,aspera,Pineland silkgrass,24-Mar-18,,N
AWA1_17,0,Fuzzy Alternate,1,Asteraceae,Vernonia ,angustifolia,tall ironweed,24-Mar-18,,N
AWA1_18,0,Posion Oak,5,Anacardiaceae,Toxicodendron ,pubescens,poison oak,24-Mar-18,,N
AWA1_18,0,Huckleberry,10,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA1_18,0,Alternate,1,Euphorbiaceae,Euphorbia ,pubentissima,false flowering spurge,24-Mar-18,,N
AWA1_18,0,Wiregrass,80,Poaceae,Aristida ,stricta,wiregrass,24-Mar-18,,N
AWA1_18,0,Andropogon,4,Poaceae,Andropogon ,,broomsedge/bluestem,24-Mar-18,,
AWA1_18,0,Panicum,1,Poaceae,Dichanthelium ,,Dicanthelium,24-Mar-18,,
AWA1_18,0,White mid vein,1,Asteraceae,Ionactis ,linariifolia,flax-leaf ankle-aster/flaxleaf whitetop,24-Mar-18,,N
AWA1_18,0,Leaf Furl,1,Fabaceae,Tephrosia ,virginiana,Virginiana Tephrosia,24-Mar-18,,N
AWA2_1,0,Rubus,25,Rosaceae,Rubus ,cuneifolius,sand blackberry,24-Mar-18,,N
AWA2_1,0,Little Round Leaf,20,Acanthaceae,Dyschoriste ,oblongifolia,oblong snakeherb/twinflower,24-Mar-18,,N
AWA2_1,0,Alternate,10,Euphorbiaceae,Euphorbia ,pubentissima,false flowering spurge,24-Mar-18,,N
AWA2_1,0,Panicum,10,Poaceae,Dichanthelium ,,Dicanthelium,24-Mar-18,,
AWA2_1,0,Sumac,1,Anacardiaceae,Rhus ,copallinum,winged sumac/dward sumac,24-Mar-18,,N
AWA2_1,0,Pine Litter,34,Pinaceae,Pinus ,palustris,longleaf pine,24-Mar-18,,N
AWA2_2,0,Huckleberry,30,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA2_2,0,Silkgrass,15,Asteraceae,Pityopsis ,aspera,Pineland silkgrass,24-Mar-18,,N
AWA2_2,0,Rubus,10,Rosaceae,Rubus ,cuneifolius,sand blackberry,24-Mar-18,,N
AWA2_2,0,Panicum,1,Poaceae,Dichanthelium ,,Dicanthelium,24-Mar-18,,
AWA2_2,0,Little Round Leaf,1,Acanthaceae,Dyschoriste ,oblongifolia,oblong snakeherb/twinflower,24-Mar-18,,N
AWA2_2,0,Mimosa/Sensitive Fern,1,Fabaceae,Mimosa ,quadrivalvis,sensitve fern/sensitive briar/sensitive mimosa,24-Mar-18,,N
AWA2_2,0,Andropogon 2,30,Poaceae,Sporobolus,compositus,composite dropseed,24-Mar-18,,N
AWA2_2,0,Pine Litter,12,Pinaceae,Pinus ,palustris,longleaf pine,24-Mar-18,,N
AWA2_3,0,Huckleberry,15,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA2_3,0,Rubus,15,Rosaceae,Rubus ,cuneifolius,sand blackberry,24-Mar-18,,N
AWA2_3,0,Heart 2,1,Convolvulaceae,Dichondra ,carolinensis,Carolina ponysfoot,24-Mar-18,,N
AWA2_3,0,Andropogon 2,50,Poaceae,Sporobolus,compositus,composite dropseed,24-Mar-18,,N
AWA2_3,0,Alternate,1,Euphorbiaceae,Euphorbia ,pubentissima,false flowering spurge,24-Mar-18,,N
AWA2_3,0,Panicum 2,1,Poaceae,Dichanthelium, dichotomum,cypress panic grass,24-Mar-18,,N
AWA2_3,0,Little Round Leaf,1,Acanthaceae,Dyschoriste ,oblongifolia,oblong snakeherb/twinflower,24-Mar-18,,N
AWA2_3,0,Butterfly Pea 2,1,Asteraceae,Symphyotrichum ,adnatum,clasping aster/scaleleaf aster,24-Mar-18,,N
AWA2_3,0,Ace Venation,1,Ophioglossaceae,Botrychium ,,moonwort,24-Mar-18,,
AWA2_3,0,Leaf Litter,14,NA,NA,NA,NA,24-Mar-18,,
AWA2_4,0,Quercus,40,Fagaceae,Quercus ,nigra,water oak,24-Mar-18,,N
AWA2_4,0,Huckleberry,10,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA2_4,0,Silkgrass,3,Asteraceae,Pityopsis ,aspera,Pineland silkgrass,24-Mar-18,,N
AWA2_4,0,Holly 1,2,Rosaceae,Crataegus ,,Hawthorn,24-Mar-18,,
AWA2_4,0,Ace Venation,5,Ophioglossaceae,Botrychium ,,moonwort,24-Mar-18,,
AWA2_4,0,Turkey Oak,5,Fagaceae,Quercus ,nigra,water oak,24-Mar-18,,N
AWA2_4,0,Pine Litter,35,Pinaceae,Pinus ,palustris,Longleaf pine,24-Mar-18,,N
AWA2_5,0,Fuzzy Alternate,1,Asteraceae,Vernonia ,angustifolia,tall ironweed,24-Mar-18,,N
AWA2_5,0,Fat Trifoliolate,1,Fabaceae,Desmodium ,lineatum,Desmodium,24-Mar-18,,N
AWA2_5,0,Rubus,3,Rosaceae,Rubus ,cuneifolius,sand blackberry,24-Mar-18,,N
AWA2_5,0,Silkgrass,5,Asteraceae,Pityopsis ,aspera,Pineland silkgrass,24-Mar-18,,N
AWA2_5,0,Panicum 2,1,Poaceae,Dichanthelium, dichotomum,cypress panic grass,24-Mar-18,,N
AWA2_5,0,Huckleberry,2,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA2_5,0,Quercus,25,Fagaceae,Quercus ,nigra,water oak,24-Mar-18,,N
AWA2_5,0,Holly 1,1,Rosaceae,Crataegus ,,Hawthorn,24-Mar-18,,
AWA2_5,0,Cherry?,1,Cornaceae,Nyssa ,,blackgum/tupelo,24-Mar-18,,
AWA2_5,0,Wiregrass,10,Poaceae,Aristida ,stricta,wiregrass,24-Mar-18,,N
AWA2_5,0,Little Round Leaf,1,Acanthaceae,Dyschoriste ,oblongifolia,oblong snakeherb/twinflower,24-Mar-18,,N
AWA2_5,0,Alternate ,1,Euphorbiaceae,Euphorbia ,pubentissima,false flowering spurge,24-Mar-18,,N
AWA2_5,0,Runner Oak,1,Fagaceae,Quercus ,virginiana,Live oak,24-Mar-18,,N
AWA2_5,0,Ace Venation ,1,Ophioglossaceae,Botrychium ,,moonwort,24-Mar-18,,
AWA2_5,0,Leaf Litter,46,NA,NA,NA,NA,24-Mar-18,,
AWA2_6,0,Wiregrass,80,Poaceae,Aristida ,stricta,wiregrass,24-Mar-18,,N
AWA2_6,0,Huckleberry,8,Ericaceae,Vaccinium ,darrowii,Darrow's blueberry,24-Mar-18,,N
AWA2_6,0,Rubus,2,Rosaceae,Rubus ,cuneifolius,sand blackberry,24-Mar-18,,N
AWA2_6,0,Fuzzy Alternate,2,Asteraceae,Vernonia ,angustifolia,tall ironweed,24-Mar-18,,N
AWA2_6,0,Thick Silkgrass,5,Asteraceae,Pityopsis ,aspera,Pineland silkgrass,24-Mar-18,,N
AWA2_6,0,Andropogon,3,Poaceae,Andropogon ,,broomsedge/bluestem,24-Mar-18,,
AWA2_7,0,Rubus,20,Rosaceae,Rubus ,cuneifolius,sand blackberry,24-Mar-18,,N
AWA2_7,0,Alternate,1,Euphorbiaceae,Euphorbia ,pubentissima,false flowering spurge,24-Mar-18,,N
AWA2_7,0,Sumac,1,Anacardiaceae,Rhus ,copallinum,winged sumac/dward sumac,24-Mar-18,,N
